# Words the sentence generator will not use until reviewed.
# Format: word | category | tags        (# ... is a comment and is ignored)
# The category and tags below are the classifier's UNVERIFIED guess — correct them.
# Paste finished lines into Content Studio -> Category Editor -> "Paste many words at once".

欠席 | Object | noun, unclassified, concrete, n5   # absence
お茶 | Drink | drink, tea, concrete, n5   # tea
技術 | Object | technology, engineering, science, n3   # technology; skill
温度 | Weather | n5   # temperature
傾向 | Object | trend, pattern, abstract, n1   # tendency
教科書 | Book | book, concrete, n5   # textbook
盗難 | Object | noun, unclassified, concrete, n2   # theft
今月 | Language | demonstrative, abstract, n5   # this month
今週 | Language | demonstrative, abstract, n5   # this week
雷 | Object | noun, unclassified, concrete, n5   # thunder
改札 | Document | document, concrete, n5   # ticket gate
片付け | Object | noun, unclassified, concrete, n5   # tidying up
時間 | Time | time, duration, common, abstract, n5   # time; hour
倍 | Object | noun, unclassified, concrete, n4   # times; -fold
謝る | Activity | verb, ichidan, abstract, n3   # to apologize
吠える | Activity | verb, ichidan, abstract, n2   # to bark
間に合う | Activity | verb, godan, abstract, n5   # to be in time
遅れる | Activity | verb, ichidan, abstract, n5   # to be late
困る | Activity | be-troubled, difficulty, godan, intransitive, n4   # to be troubled
始める | Activity | begin, start, ichidan, transitive, n4   # to begin
始まる | Activity | begin, start, godan, intransitive, n5   # to begin
沸かす | Activity | verb, godan, abstract, n3   # to boil (liquid)
磨く | Activity | verb, godan, abstract, n4   # to brush; polish
祝う | Activity | verb, godan, abstract, n3   # to celebrate
変更する | Activity | verb, suru-verb, abstract, n3   # to change
着替える | Activity | verb, ichidan, abstract, n4   # to change clothes
調べる | Activity | investigate, check, research, ichidan, transitive, n4   # to check; investigate
選ぶ | Activity | choose, decision, godan, transitive, n4   # to choose
選択する | Activity | verb, mental-verb, suru-verb, abstract, n3   # to choose
選ぶ | Activity | choose, decision, godan, transitive, n5   # to choose
登る | Activity | verb, motion-verb, movement, ichidan, abstract, n4   # to climb
閉まる | Activity | verb, ichidan, abstract, n4   # to close
比べる | Activity | compare, analysis, ichidan, transitive, n4   # to compare
比較する | Activity | verb, suru-verb, abstract, n3   # to compare
確認する | Activity | verb, suru-verb, abstract, n3   # to confirm
相談する | Activity | verb, suru-verb, abstract, n3   # to consult
連絡する | Activity | verb, suru-verb, abstract, n3   # to contact
続ける | Activity | continue, persist, ichidan, transitive, n4   # to continue
続ける | Activity | continue, persist, ichidan, transitive, n3   # to continue
続く | Activity | continue, last, duration, godan, intransitive, n5   # to continue
伝える | Activity | tell, convey, communication, ichidan, transitive, n4   # to convey
伝える | Activity | tell, convey, communication, ichidan, transitive, n4   # to convey; tell
切る | Activity | cut, end, godan, transitive, n5   # to cut
決める | Activity | decide, decision, planning, ichidan, transitive, n4   # to decide
決定する | Activity | verb, suru-verb, abstract, n3   # to decide
飾る | Activity | verb, ichidan, abstract, n3   # to decorate
減る | Activity | decrease, decline, godan, intransitive, n4   # to decrease
減少する | Activity | verb, suru-verb, abstract, n3   # to decrease
終わる | Activity | finish, end, completion, godan, intransitive, n5   # to end
説明する | Activity | verb, communication-verb, communication, suru-verb, abstract, n3   # to explain
失敗する | Activity | verb, suru-verb, abstract, n3   # to fail
終える | Activity | verb, ichidan, abstract, n4   # to finish
直す | Activity | verb, godan, abstract, n4   # to fix; correct
忘れる | Activity | forget, memory, mental, ichidan, transitive, n4   # to forget
集まる | Activity | gather, assemble, godan, intransitive, n4   # to gather
汚れる | Activity | verb, ichidan, abstract, n3   # to get dirty
焼く | Activity | bake, grill, burn, cooking, godan, transitive, n5   # to grill; bake
手伝う | Activity | verb, godan, abstract, n4   # to help
助ける | Activity | verb, ichidan, abstract, n5   # to help; save
急ぐ | Activity | verb, godan, abstract, n4   # to hurry
含む | Activity | include, contain, godan, transitive, n2   # to include
増える | Activity | increase, growth, ichidan, intransitive, n4   # to increase
増加する | Activity | verb, suru-verb, abstract, n3   # to increase
判断する | Activity | verb, suru-verb, abstract, n3   # to judge
飼う | Activity | keep-pet, raise-animal, godan, transitive, n4   # to keep a pet
冷ます | Activity | verb, godan, abstract, n3   # to let cool
負ける | Activity | lose, competition, sport, ichidan, intransitive, n5   # to lose
維持する | Activity | verb, suru-verb, abstract, n1   # to maintain
間違える | Activity | verb, creating, ichidan, abstract, n4   # to make a mistake
覚える | Activity | remember, memorize, learning, mental, ichidan, transitive, n5   # to memorize
混ぜる | Activity | verb, ichidan, abstract, n5   # to mix
動く | Activity | move, motion, godan, intransitive, n4   # to move
開く | Activity | open, begin, godan, intransitive, n4   # to open
参加する | Activity | verb, suru-verb, abstract, n3   # to participate
支払う | Activity | verb, godan, abstract, n5   # to pay
準備する | Activity | verb, suru-verb, abstract, n3   # to prepare
防ぐ | Activity | verb, godan, abstract, n2   # to prevent
促進する | Activity | verb, suru-verb, abstract, n1   # to promote
育てる | Activity | raise, grow, educate, ichidan, transitive, n3   # to raise (a child)
達する | Activity | verb, suru-verb, abstract, n1   # to reach; attain
認める | Activity | recognize, approve, accept, ichidan, transitive, n2   # to recognize; admit
断る | Activity | verb, ichidan, abstract, n3   # to refuse
残る | Activity | remain, stay, godan, intransitive, n4   # to remain
報告する | Activity | verb, suru-verb, abstract, n5   # to report
頼む | Activity | request, communication, godan, transitive, n3   # to request; ask a favor
似ている | Activity | verb, ichidan, abstract, n3   # to resemble
休む | Activity | verb, godan, abstract, n5   # to rest
求める | Activity | seek, request, demand, ichidan, transitive, n2   # to seek; demand
煮る | Activity | verb, ichidan, abstract, n3   # to simmer
泊まる | Activity | verb, ichidan, abstract, n4   # to stay overnight
蒸す | Activity | verb, godan, abstract, n3   # to steam
炒める | Activity | verb, ichidan, abstract, n3   # to stir-fry
止まる | Activity | stop, halt, godan, intransitive, n4   # to stop
成功する | Activity | verb, suru-verb, abstract, n3   # to succeed
似合う | Activity | verb, perception-verb, godan, abstract, n3   # to suit; look good on
脱ぐ | Activity | verb, godan, abstract, n4   # to take off
連れる | Activity | bring-along, companion, ichidan, transitive, n4   # to take someone along
破れる | Activity | verb, ichidan, abstract, n2   # to tear; rip
片付ける | Activity | verb, ichidan, abstract, n4   # to tidy up
乗り換える | Activity | verb, ichidan, abstract, n4   # to transfer
曲がる | Activity | verb, ichidan, abstract, n5   # to turn
理解する | Activity | verb, perception-verb, mental-verb, suru-verb, abstract, n5   # to understand
利用する | Activity | verb, suru-verb, abstract, n3   # to use
洗う | Activity | verb, godan, abstract, n4   # to wash
着る | Activity | wear, clothing, ichidan, transitive, n5   # to wear
迎える | Activity | welcome, meet, receive, ichidan, transitive, n4   # to welcome; pick up
勝つ | Activity | win, competition, sport, godan, intransitive, n5   # to win
本日のおすすめ | Time | day, n3   # today's special
豆腐 | Object | noun, unclassified, concrete, n5   # tofu
歯ブラシ | Object | noun, unclassified, concrete, n5   # toothbrush
合計 | Object | noun, unclassified, concrete, n3   # total
大会 | Object | noun, unclassified, concrete, n4   # tournament
町 | Place | town, municipality, urban, n5   # town
伝統 | Object | tradition, culture, society, n3   # tradition
信号 | Object | na-adjective, concrete, n5   # traffic light
路線 | Vehicle | vehicle, concrete, n5   # train line; route
乗車券 | Vehicle | vehicle, concrete, n5   # train ticket
ゴミ箱 | Object | noun, unclassified, concrete, n5   # trash can
木 | Person | tree, plant, nature, living, n5   # tree
旅行 | Activity | travel, vacation, suru-verb, n5   # trip; travel
信頼 | Object | trust, relationship, abstract, n5   # trust
試着 | Clothing | clothing, concrete, n5   # trying on clothes
台風 | Weather | n5   # typhoon
傘 | Object | umbrella, weather, personal-item, n5   # umbrella
単位 | Object | noun, unclassified, concrete, n2   # unit (of measure)
利用 | Object | noun, unclassified, concrete, n3   # use; utilization
たいてい | Adverb | adverb, abstract, n4   # usually
掃除機 | Object | noun, unclassified, concrete, n4   # vacuum cleaner
価値 | Object | value, philosophy, abstract, n2   # value
野菜 | Food | vegetable, healthy, ingredient, edible, n5   # vegetables
獣医 | Object | noun, unclassified, concrete, n2   # veterinarian
動画 | Media | concrete, n5   # video
観点 | Object | noun, unclassified, concrete, n1   # viewpoint
村 | Place | village, rural, n5   # village
財布 | Object | wallet, money, personal-item, n5   # wallet
財布 | Object | wallet, money, personal-item, n5   # wallet
洗濯機 | Technology | electronic, concrete, n4   # washing machine
洗面所 | Object | noun, unclassified, concrete, n5   # washroom
水 | Drink | water, drink, n5   # water
天気 | Object | weather, nature, n5   # weather
週末 | Object | noun, unclassified, concrete, n5   # weekend
重さ | Number | number, n3   # weight
白い | Adverb | white, color, i-adjective, n5   # white
野生 | Object | noun, unclassified, concrete, n3   # wild; wildlife
風 | Object | wind, nature, weather, n5   # wind
窓 | Object | window, building, structure, n5   # window
冬 | Time | winter, season, time, n5   # winter
言葉 | Object | word, language, communication, n5   # word; language
仕事 | Activity | work, job, business, suru-verb, n3   # work; job
心配 | Adverb | worry, emotion, state, suru-noun, n5   # worry
動物園 | Place | zoo, animal, family, tourism, n5   # zoo
